[2026-08-01T15:47:50.451Z] GET http://localhost:5173/images/trace-cover.jpeg → 200 (10ms, 33584B)
[2026-08-01T15:47:50.452Z] GET http://localhost:5173/documents/thesis/thesis-cover.svg → 200 (21ms, 9099B)
[2026-08-01T15:47:50.452Z] GET http://localhost:5173/images/tailor-cover.png → 200 (9ms, 317970B)
[2026-08-01T15:47:50.452Z] GET http://localhost:5173/images/stony-brook-logo.png → 200 (9ms, 49805B)
[2026-08-01T15:47:50.452Z] GET http://localhost:5173/images/hawaii-hilo-logo.jpg → 200 (9ms, 59669B)
[2026-08-01T15:47:50.452Z] GET http://localhost:5173/images/cert-ibm-genai.png → 200 (10ms, 176343B)
[2026-08-01T15:47:50.452Z] GET http://localhost:5173/images/cert-deeplearning-ai.png → 200 (21ms, 44291B)
[2026-08-01T15:47:50.452Z] GET http://localhost:5173/images/vivansa-logo.png → 200 (21ms, 13650B)
[2026-08-01T15:47:50.503Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (438ms, 22320B)
[2026-08-01T15:47:50.503Z] GET https://fonts.gstatic.com/s/inter/v20/UcCo3FwrK3iLTcviYwYZ8UA3.woff2 → 200 (365ms, 73016B)
[2026-08-01T15:47:50.503Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (365ms, 10052B)
[2026-08-01T15:47:50.503Z] GET https://fonts.gstatic.com/s/inter/v20/UcC53FwrK3iLTcvneQg7B5iqpJlhKnPCkaL5UUMbndwV.woff2 → 200 (440ms, 37544B)
[2026-08-01T15:47:50.503Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (365ms, 10060B)
[2026-08-01T15:47:50.503Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3vAOwlBFgsAXHNk.woff2 → 200 (392ms, 10120B)
